Time,bit-x,bitbay,bitfinex,bitflyer,bitso,bitstamp,coinbase,gemini,kraken,others
2019-12-30 00:00:00 UTC,57129.4167,10098.07894514,29075.62982067,18970.78741574,1202.08401895,32048.6979664,58236.6436176799,5544.81109113951,47160.06488462,11916.853481346472
2020-01-06 00:00:00 UTC,55420.5916,13352.37318393,52608.36182194,44682.0810105799,1981.69091749,63119.8892890499,107508.79702659,7616.65584437271,87354.1299463899,17625.27320159931
2020-01-13 00:00:00 UTC,55225.0092,15073.19228649,58644.2530955401,45410.7530287898,2208.15438203,69575.42130194,108941.06331341,9453.79640009352,91630.3061602799,15856.18657291919
2020-01-20 00:00:00 UTC,55233.7153,12786.7208952,24434.2599179798,24205.52634063,1270.56864914,42547.89645684,58674.1191026299,5293.7194960437,52565.84904727,10678.804214082933
2020-01-27 00:00:00 UTC,53983.4835,13583.50210339,42709.3695173799,37008.9091212499,1791.26528056,53645.02743658,88620.5296989899,6998.06215228701,69680.67175163,15392.475618633842
2020-02-03 00:00:00 UTC,54079.9219,12664.21728282,49008.0742558002,34163.2466542999,1277.86866436,46725.94743769,86403.4948358999,6314.8274928772,62225.9923526,13763.38510047408
2020-02-10 00:00:00 UTC,55222.1772,13652.97588306,51781.6044477702,41359.3956063398,1494.11369752,60658.68841991,106965.38061786,11482.2063045234,73019.6389175,15684.167812367708
2020-02-17 00:00:00 UTC,57341.5361,12187.48208231,58251.0544847804,33355.1034468299,1599.74276606,47132.56893028,81331.71328497,7536.6529521262,57135.1608225,13134.084002003501
2020-02-24 00:00:00 UTC,58488.5696,13458.88145312,53026.1286936602,47268.4111664999,1763.07699294,58267.62944373,100549.712805,10039.895623346,71274.1042083299,14461.05742258478
2020-03-02 00:00:00 UTC,44113.0924,11329.60342942,53614.4434603211,35670.0910411598,1734.9213422,48858.3322860499,79806.29426623,8395.6902359335,61317.90828415,12838.46041267235
2020-03-09 00:00:00 UTC,42461.7065,35997.49415898,304487.386929944,95327.5067934192,3284.55257058,212827.06596522,439940.753077157,56799.6956345479,252119.67729662,40847.69185986637
